ID,Text,LabelID
11,"Yes, that is acne, basically blocked pores. It is fairly common but it shows far more on light coloured cats. I have to say I use a clean fingernail if I see any on my cats but if you don't approve of that, they can usually be washed away. It is better not to leave them even though they are no problem as they are because cats under stress can have infections in that area if they have acne.",ASC102
12,Yes it could be feline acne - my old Harrycat (RIP) had a bad flare up one year. Can't remember if he had antibiotics but I do remember having to wash his chin with a weak solution of Hibiscrub. It's most commonly caused by using plastic feeding bowls - I switched to china and/or glass and it did clear up and never came back.,ASC102
13,"Hi,
my lab has been having acne for over a year. We've visited the vet a couple of times, they usually prescribe steroids/antibiotics and a cleanser but the problem doesnt seem to go away. I have no idea what to do? Has anyone faced this issue?",ASC102
14,"If you’ve ever noticed red bumps, black dots, or dirt on your cat’s chin, your cat may struggle with cat acne, or cat chin acne.  

At its basic definition, cat chin acne is a disease in which the hair follicles—typically the ones on a cat’s chin—produce too much keratin and become plugged up. This results in red bumps, blackheads, and infected pimple-like lesions.

Cats can have a single, isolated bout of cat acne, or it may be chronic.

Chronic or severely affected cats may have so many plugged follicles that they fuse together, and form swollen, painful crusts. As the lesions get bigger, the follicles are more prone to rupture, which is a sore and often messy experience. Cat acne can also lead to chronic hair loss in the affected area.

Felines of all ages can develop acne, since it’s not believed to be related to sex hormones. Additionally, cat acne affects males and females of all breeds, as well as both and neutered and unneutered cats.",ASC102
15,"Symptoms of Cat Acne
Symptoms of cat acne include:

Redness or swelling

Bumps and pustules

Scabs and crusts

Pain around the chin",ASC102
16,"Why are there black scabs on cat's chin? 
If you’re seeing chin sores or black scabs on cat's chin, your cat might have cat chin acne. Cat acne does not solely manifest itself on the chin – cat acne on lips is also something to look out for. If there are scabs under cat's chin, check with a vet.
What does feline acne look like?
Feline acne manifests itself as small bumps accompanied by blackheads or whiteheads, similar to humans. But on a cat’s skin it can often take an appearance that looks more like dirt than pimples, which is why many owners don’t even notice the skin condition. Severe cases can lead to hair loss, redness and even bleeding.
What causes cat acne?
The causes of cat chin acne are still largely a mystery. It’s thought to be caused by an over-production of keratin. However, lifestyle choices can encourage cat chin acne too:

Plastic bowls
It's been noticed in cats that use plastic bowls for food and water.

Poor grooming
This can lead to acne, especially in older cats.
 

These feline acne causes can be changed fairly easily. However, there are a series of underlying conditions that can have a contribution as well:

Poor immune system.
Stress.
Food allergies.
Hormone imbalances.
Hyperactive sebaceous glands.
 

If you’ve made the necessary lifestyle changes and suspect your cat’s acne is caused by an underlying issue, you’ll need to contact a vet.",ASC102
17,"Skin allergies (seasonal or to foods)
Contact hypersensitivity (typically to plastic)
Excessive scent marking
Stress
Viruses such as calicivirus and herpes virus
Poor grooming habits
There are also other diseases such as demodicosis (mange), ring worm and other types of allergic reactions that may appear similar to feline acne and should be ruled out by your veterinarian. Acne can affect cats of all breeds. While a genetic predisposition may exist, no direct link has yet demonstrated that this disease is an inherited condition.

Clinical Signs of Feline Acne
Acne in cats isn't always easy to spot. While even mild feline chin acne will readily stand out in cats with white or light-colored fur, it may not be so obvious in cats with darker coats. Normally, acne may appear as little black dots on the chin or lip margins. These comedones (blackheads) can appear bumpy, crusty or just dirty. Fur may be missing in these areas, and the affected skin may be raised and bumpy or swollen and reddened.

In more severely affected cats, the entire chin area or lip margins may be swollen, red and/or missing fur. Instead of tiny black dots, draining pustules over thickened skin are typically evident in these cats. Spots of blood may even be spied on their nearby fur or on objects they choose to rub against. If the acne is severe, these cats may paw at the area or rub vigorously against objects, but most appear unfazed by acne. It is not considered especially itchy or painful.",ASC102
18,"Cats with more severe forms of feline acne often have other skin issues to contend with. These can include other areas of hairlessness, redness or bumpy crusting. Excessive grooming or obvious itchiness is possible, too. Allergic skin disease is, after all, a major predisposing factor in cases of feline acne.",ASC102
19,"Although the exact cause of feline acne is unknown, some causes include:

Hyperactive sebaceous glands
Poor hygiene
Stress
Developing secondary to fungal, viral, and bacterial infections
Reaction to medication
Eating or drinking from plastic containers. While it has commonly been suggested that cats are ""allergic"" to these containers, recent research suggests that plastic containers harbour bacteria due to irregular surfaces.
Demodicosis or mange, causing itchiness and hair loss
Suppressed immune system
Hair follicles that don't function properly
Rubbing the chin (to display affection or mark territory) on non-sanitized household items
Hormonal imbalance
Obese cats which have difficulty grooming themselves are predisposed to dry, flaky skin and feline acne",ASC102
20,"Cat acne is most common on the chin or around the mouth, but it can be present anywhere on the body. Appearing as small bumps, it often looks similar to the blackheads or whiteheads that humans get. Some cats have a single breakout, while others have recurring symptoms. If the condition is severe, you may notice hair loss, redness, and even nodules or bleeding scabs. If your cat scratches or licks the affected area, a bacterial infection, which can be serious, may also develop. For this reason, it’s important to remember that you shouldn’t squeeze, pick at, or otherwise try to remove your cat’s pimples.",ASC102
